# deviation_chirp_bias	 deviation_time_bias
0.00025173	0.00015467
0.00019944	0.01099797
0.00017469	0.00014604
0.00004224	0.00079448
0.00000198	0.00119649
0.00183444	0.00147972
0.00022711	0.00016517
0.00065412	0.00417642
0.00001772	0.00030003
0.00005542	0.00049267
0.00011818	0.00000633
0.00002282	0.00003189
0.00059088	0.00341850
0.00028425	0.00015799
0.00142288	0.00071315
0.00011003	0.01029079
0.00055087	0.00225970
0.00007960	0.00029074
0.00007735	0.00080703
0.00014781	0.00173597
0.00036951	0.00379402
0.00009653	0.00081879
0.00003102	0.00171985
0.00002095	0.00025019
0.00008403	0.00162726
0.00012352	0.00016709
0.00048156	0.00229224
0.00006340	0.00219118
0.00001228	0.00034297
0.00027173	0.00187945
0.00015903	0.00018495
0.00069077	0.00105347
0.00000865	0.00034468
0.00002591	0.00008159
0.00000730	0.00003051
0.00073923	0.00037131
0.00003284	0.00011456
0.00001682	0.00009965
0.00006022	0.00020926
0.00020178	0.00039277
0.00027576	0.00003655
0.00009267	0.00023846
0.00019572	0.00053097
0.00006586	0.00309950
0.00010368	0.00114749
0.00002545	0.00029701
0.00025222	0.00267207
0.00006940	0.00043104
0.00012807	0.00342113
0.00014561	0.00006648
0.00001382	0.00046902
0.00050393	0.00094854
0.00006674	0.00007589
0.00001114	0.00021716
0.00004323	0.00016434
0.00000027	0.00098669
0.00018783	0.00154515
0.00047538	0.00071308
0.00020174	0.00054764
0.00047444	0.00052886
0.00012905	0.00220143
0.00003660	0.00061513
0.00005341	0.00019907
0.00001765	0.00178071
0.00024323	0.00172639
0.00053056	0.00219663
0.00002723	0.00006507
0.00020772	0.00255355
0.00017516	0.00044780
0.00043636	0.00649818
0.00008076	0.00059530
0.00048611	0.00568945
0.00012826	0.00042675
0.00011828	0.00002042
0.00007872	0.00010503
0.00005111	0.00002798
0.00037599	0.00100191
0.00011422	0.00087645
0.00023794	0.00081141
0.00005555	0.00125827
0.00016160	0.00003049
0.00002224	0.00107276
0.00019464	0.00028988
0.00014516	0.00156772
0.00003001	0.00010599
0.00024677	0.00079015
0.00017570	0.00081976
0.00006903	0.00048818
0.00002266	0.00035735
0.00012313	0.00016509
0.00032869	0.00116644
0.00019600	0.00025060
0.00002502	0.00047432
0.00000271	0.00039143
0.00059771	0.00395580
0.00028858	0.00098857
0.00001629	0.00026294
0.00014172	0.00077039
0.00133577	0.00230609
0.00015754	0.00008017
0.00013776	0.00084833
0.00012179	0.00245102
0.00020947	0.00134415
0.00002482	0.00037516
0.00012428	0.00237457
0.00007107	0.00011302
0.00004403	0.00007843
0.00023715	0.00364882
0.00012222	0.00055126
0.00015074	0.00095972
0.00001682	0.00037386
0.00003380	0.00091271
0.00003215	0.00057360
0.00000311	0.00013396
0.00001516	0.00038968
0.00012317	0.00115999
0.00028364	0.00068548
0.00148750	0.00410074
0.00006786	0.00050094
0.00008050	0.00050404
0.00006587	0.00029021
0.00000672	0.00082178
0.00032512	0.00171172
0.00002319	0.00087108
0.00004155	0.00033269
0.00071193	0.00034989
0.00006241	0.00030345
0.00000310	0.00028025
0.00005732	0.00003848
0.00014671	0.00289733
0.00015659	0.00000608
0.00012362	0.00084485
0.00002419	0.00019163
0.00002288	0.00021113
0.00007991	0.00043381
0.00005317	0.00008711
0.00038202	0.00576288
0.00045410	0.00255278
0.00027536	0.00153644
0.00005099	0.00093157
0.00010430	0.00001153
0.00007598	0.00028336
0.00011132	0.00020876
0.00010402	0.00043407
0.00010800	0.00057151
0.00005459	0.00009893
0.00013053	0.00094834
0.00005639	0.00001996
0.00035252	0.00600432
0.00005914	0.00005970
0.00003980	0.00098991
0.00041386	0.00271156
0.00013927	0.00033042
0.00004559	0.00026013
0.00001296	0.00026640
0.00013514	0.00180885
0.00007961	0.01039918
0.00001744	0.00011605
0.00015017	0.00342516
0.00027495	0.00121016
0.00000883	0.00010195
0.00006070	0.00128333
0.00009458	0.00058953
0.00016954	0.00071892
0.00038612	0.00054406
0.00004830	0.00116614
0.00037803	0.00694315
0.00002548	0.00148760
0.00005489	0.00003531
0.00013338	0.00423724
0.00003992	0.00015071
0.00045912	0.00130926
0.00001651	0.00070680
0.00004264	0.00066670
0.00002563	0.00103602
0.00005621	0.00033335
0.00013509	0.00006225
0.00010512	0.00058870
0.00043351	0.00003192
0.00003853	0.00012829
0.00015637	0.00055642
0.00062576	0.00291317
0.00020313	0.00076061
0.00015514	0.00065826
0.00002867	0.00134910
0.00010157	0.00117526
0.00025272	0.00256978
0.00004647	0.00003203
0.00003932	0.00061631
0.00015374	0.00052164
0.00006590	0.00028620
0.00022234	0.00075888
0.00000265	0.00017429
0.00019614	0.00130210
0.00028398	0.00204992
0.00003481	0.00007453
0.00005488	0.00044468
0.00011100	0.00040122
0.00004964	0.00031646
0.00006296	0.00102834
0.00031883	0.00046071
0.00032371	0.00032875
0.00002034	0.00189640
0.00025499	0.00065635
0.00005083	0.00019206
0.00017354	0.00017220
0.00018498	0.00091611
0.00026221	0.00062782
0.00006427	0.00047572
0.00009596	0.00048606
0.00041560	0.00305166
0.00004202	0.00032271
0.00018899	0.00013560
0.00031128	0.00408095
0.00000736	0.00098211
0.00005698	0.00080732
0.00039634	0.00380695
0.00004231	0.00039734
0.00002854	0.00020074
0.00004615	0.00027368
0.00020717	0.00244809
0.00020583	0.00108780
0.00028571	0.00116767
0.00011295	0.00031514
0.00017619	0.00247445
0.00010225	0.00064007
0.00002312	0.00014749
0.00000873	0.00029157
0.00012645	0.00139951
0.00000866	0.00016773
0.00013651	0.00045125
0.00017913	0.00122280
0.00010326	0.00006767
0.00028822	0.00071507
0.00036376	0.00601598
0.00006646	0.00031951
0.00011028	0.00033121
0.00011738	0.00024583
0.00101529	0.00380243
0.00004567	0.00066456
0.00005883	0.00047433
0.00002226	0.00037101
0.00007183	0.00069376
0.00001034	0.00081115
0.00000237	0.00049617
0.00005459	0.00024890
0.00010577	0.00010134
0.00008626	0.00060563
0.00000193	0.00015586
0.00000119	0.00065568
0.00002892	0.00001780
0.00009930	0.00014600
0.00023434	0.00000245
0.00015268	0.00016784
0.00014696	0.00235568
0.00001628	0.00025546
0.00042556	0.00169416
0.00000748	0.00004683
0.00042363	0.00270998
0.00012990	0.00068774
0.00005367	0.00046844
0.00001091	0.00123341
0.00003341	0.00088809
0.00018432	0.00002075
0.00046731	0.00004958
0.00012505	0.00047980
0.00009373	0.00126135
0.00001891	0.00021291
0.00006479	0.00153644
0.00007603	0.00094277
0.00010248	0.00061709
0.00009209	0.00023838
0.00003903	0.00000723
0.00004485	0.00124062
0.00154459	0.00072381
0.00004160	0.00031622
0.00030367	0.00097114
0.00005787	0.00025322
0.00047144	0.00883921
0.00010546	0.00005689
0.00014522	0.00054353
0.00005821	0.00039493
0.00004212	0.00090248
0.00036457	0.00044875
0.00003890	0.00020638
0.00012370	0.00010144
0.00008548	0.00066251
0.00015302	0.00062625
0.00015588	0.00144827
0.00006395	0.00057761
0.00003980	0.00164149
0.00008538	0.00004894
0.00011021	0.00088915
0.00010963	0.00161681
0.00040338	0.00164795
0.00024154	0.00060143
0.00008728	0.00072131
0.00043101	0.00853535
0.00006681	0.00044326
0.00011570	0.00049094
0.00003153	0.00029459
0.00016083	0.00177631
0.00006831	0.00028238
0.00012319	0.00571819
0.00004187	0.00007752
0.00006149	0.00004788
0.00015218	0.00020073
0.00005628	0.00019991
0.00013247	0.00066639
0.00049940	0.00211603
0.00001747	0.00016544
0.00062514	0.00113522
0.00010390	0.00003061
0.00003078	0.00086955
0.00023909	0.00037805
0.00000902	0.00017037
0.00005491	0.00003706
0.00001845	0.00177666
